"N_Protocol" "Status" "Species" "Branch_N" "Length" "N_Thorns" "N_Twigs" "Longest_thorn" "N_browsed_Twigs" "Branch_esc" "FlowerOrFruit" "BDI" "Thorn_density" "BrowRate" "Bite"
5 "Escaped" "Malus" 9 10 0 7 NA 4 "no" 0 0.7 0 0.4 1
5 "Escaped" "Malus" 10 9 0 12 NA 8 "no" 0 1.33333333333333 0 0.888888888888889 1
5 "Escaped" "Malus" 11 10 0 13 NA 7 "no" 0 1.3 0 0.7 1
5 "Escaped" "Malus" 12 9 1 17 2.9 7 "no" 0 1.88888888888889 0.111111111111111 0.777777777777778 1
5 "Escaped" "Malus" 1 10 0 1 NA 0 "yes" 1 0.1 0 0 0
5 "Escaped" "Malus" 2 10 0 1 NA 0 "yes" 1 0.1 0 0 0
5 "Escaped" "Malus" 3 10 0 1 NA 0 "yes" 1 0.1 0 0 0
5 "Escaped" "Malus" 4 10 0 7 NA 1 "yes" 1 0.7 0 0.1 1
5 "Escaped" "Malus" 5 10 0 1 NA 0 "yes" 1 0.1 0 0 0
5 "Escaped" "Malus" 6 10 0 1 NA 0 "yes" 1 0.1 0 0 0
5 "Escaped" "Malus" 7 10 0 7 NA 2 "yes" 1 0.7 0 0.2 1
5 "Escaped" "Malus" 8 10 0 1 NA 0 "yes" 1 0.1 0 0 0
5 "Escaped" "Malus" 9 10 0 10 NA 2 "yes" 1 1 0 0.2 1
5 "Escaped" "Malus" 10 10 0 10 NA 6 "yes" 1 1 0 0.6 1
5 "Escaped" "Malus" 11 10 0 1 NA 0 "yes" 1 0.1 0 0 0
5 "Escaped" "Malus" 12 10 0 1 NA 0 "yes" 1 0.1 0 0 0
6 "Not escaped" "Malus" 1 10 3 8 0.9 2 "no" 0 0.8 0.3 0.2 1
6 "Not escaped" "Malus" 2 10 0 1 NA 0 "no" 0 0.1 0 0 0
6 "Not escaped" "Malus" 3 10 0 10 NA 5 "no" 0 1 0 0.5 1
6 "Not escaped" "Malus" 4 10 0 1 NA 0 "no" 0 0.1 0 0 0
6 "Not escaped" "Malus" 5 10 0 2 NA 1 "no" 0 0.2 0 0.1 1
6 "Not escaped" "Malus" 6 10 2 9 1.3 6 "no" 0 0.9 0.2 0.6 1
6 "Not escaped" "Malus" 7 10 4 14 3.2 4 "no" 0 1.4 0.4 0.4 1
6 "Not escaped" "Malus" 8 10 0 1 NA 0 "no" 0 0.1 0 0 0
6 "Not escaped" "Malus" 9 10 6 10 3 6 "no" 0 1 0.6 0.6 1
6 "Not escaped" "Malus" 10 10 1 6 2.2 2 "no" 0 0.6 0.1 0.2 1
6 "Not escaped" "Malus" 11 9 0 3 NA 0 "no" 0 0.333333333333333 0 0 0
6 "Not escaped" "Malus" 12 10 1 7 6 1 "no" 0 0.7 0.1 0.1 1
7 "Escaped" "Malus" 1 10 0 1 NA 0 "no" 0 0.1 0 0 0
7 "Escaped" "Malus" 2 10 0 4 NA 1 "no" 0 0.4 0 0.1 1
7 "Escaped" "Malus" 3 10 1 12 0.9 5 "no" 0 1.2 0.1 0.5 1
7 "Escaped" "Malus" 4 10 1 1 2.9 0 "no" 0 0.1 0.1 0 0
7 "Escaped" "Malus" 5 10 0 11 NA 2 "no" 0 1.1 0 0.2 1
7 "Escaped" "Malus" 6 10 0 6 NA 4 "no" 0 0.6 0 0.4 1
7 "Escaped" "Malus" 7 10 3 15 1.5 5 "no" 0 1.5 0.3 0.5 1
7 "Escaped" "Malus" 8 10 0 2 NA 1 "no" 0 0.2 0 0.1 1
7 "Escaped" "Malus" 9 8 2 4 3 3 "no" 0 0.5 0.25 0.375 1
7 "Escaped" "Malus" 10 10 0 1 NA 1 "no" 0 0.1 0 0.1 1
7 "Escaped" "Malus" 11 9 2 10 1.1 4 "no" 0 1.11111111111111 0.222222222222222 0.444444444444444 1
7 "Escaped" "Malus" 12 10 0 2 NA 1 "no" 0 0.2 0 0.1 1
7 "Escaped" "Malus" 1 10 4 6 3.5 1 "yes" 0 0.6 0.4 0.1 1
7 "Escaped" "Malus" 2 10 0 6 NA 1 "yes" 0 0.6 0 0.1 1
7 "Escaped" "Malus" 3 10 0 1 NA 0 "yes" 0 0.1 0 0 0
7 "Escaped" "Malus" 4 10 0 2 NA 1 "yes" 0 0.2 0 0.1 1
7 "Escaped" "Malus" 5 10 1 1 4 0 "yes" 0 0.1 0.1 0 0
7 "Escaped" "Malus" 6 10 0 5 NA 0 "yes" 0 0.5 0 0 0
7 "Escaped" "Malus" 7 10 0 1 NA 0 "yes" 0 0.1 0 0 0
7 "Escaped" "Malus" 8 10 0 1 NA 0 "yes" 0 0.1 0 0 0
7 "Escaped" "Malus" 9 10 0 1 NA 0 "yes" 0 0.1 0 0 0
7 "Escaped" "Malus" 10 10 5 7 5 1 "yes" 0 0.7 0.5 0.1 1
7 "Escaped" "Malus" 11 10 0 5 NA 1 "yes" 0 0.5 0 0.1 1
7 "Escaped" "Malus" 12 10 0 1 NA 0 "yes" 0 0.1 0 0 0
8 "Escaped" "Malus" 1 10 0 2 NA 2 "no" 0 0.2 0 0.2 1
8 "Escaped" "Malus" 2 8 0 5 NA 4 "no" 0 0.625 0 0.5 1
8 "Escaped" "Malus" 3 8 2 11 0.7 2 "no" 0 1.375 0.25 0.25 1
8 "Escaped" "Malus" 4 10 2 4 6 2 "no" 0 0.4 0.2 0.2 1
8 "Escaped" "Malus" 5 8 1 7 0.6 1 "no" 0 0.875 0.125 0.125 1
8 "Escaped" "Malus" 6 10 5 30 2.2 8 "no" 0 3 0.5 0.8 1
8 "Escaped" "Malus" 7 10 0 9 NA 2 "no" 0 0.9 0 0.2 1
8 "Escaped" "Malus" 8 10 0 1 NA 1 "no" 0 0.1 0 0.1 1
8 "Escaped" "Malus" 9 9 0 6 NA 4 "no" 0 0.666666666666667 0 0.444444444444444 1
8 "Escaped" "Malus" 10 10 1 8 2.2 3 "no" 0 0.8 0.1 0.3 1
8 "Escaped" "Malus" 11 7 1 5 4 1 "no" 0 0.714285714285714 0.142857142857143 0.142857142857143 1
