"N_Protocol" "animal_species" "Species" "Foraging_time"
213 "Red Deer" "Quercus" NA
213 "Red Deer" "Quercus" NA
213 "Red Deer" "Quercus" NA
213 "Red Deer" "Quercus" NA
213 "Red Deer" "Quercus" NA
213 "Red Deer" "Quercus" NA
215 "Red Deer" "Quercus" NA
215 "Red Deer" "Quercus" NA
215 "Red Deer" "Quercus" NA
215 "Red Deer" "Quercus" NA
215 "Red Deer" "Quercus" NA
215 "Red Deer" "Quercus" NA
215 "Red Deer" "Quercus" NA
215 "Roe Deer" "Quercus" NA
215 "European Bison" "Quercus" NA
215 "European Bison" "Quercus" NA
215 "European Bison" "Quercus" NA
215 "European Bison" "Quercus" NA
217 "Red Deer" "Carpinus" NA
217 "Red Deer" "Carpinus" NA
217 "Red Deer" "Carpinus" NA
217 "Red Deer" "Carpinus" NA
217 "Red Deer" "Carpinus" NA
221 "Red Deer" "Quercus" NA
221 "Red Deer" "Quercus" NA
221 "Red Deer" "Quercus" NA
221 "Red Deer" "Quercus" NA
221 "Red Deer" "Quercus" NA
221 "Red Deer" "Quercus" NA
221 "European Bison" "Quercus" 13
222 "Roe Deer" "Quercus" NA
222 "European Bison" "Quercus" NA
222 "Red Deer" "Quercus" NA
224 "European Bison" "Quercus" NA
224 "European Bison" "Quercus" NA
224 "European Bison" "Quercus" NA
229 "Roe Deer" "Quercus" 8
233 "Red Deer" "Prunus" NA
233 "Red Deer" "Prunus" NA
233 "Red Deer" "Prunus" NA
233 "Red Deer" "Prunus" 2
233 "Red Deer" "Prunus" NA
235 "Red Deer" "Pyrus" NA
235 "Red Deer" "Pyrus" NA
235 "Red Deer" "Pyrus" NA
235 "Red Deer" "Pyrus" NA
235 "Red Deer" "Pyrus" NA
235 "Red Deer" "Pyrus" NA
235 "Red Deer" "Pyrus" NA
238 "Red Deer" "Prunus" NA
238 "Red Deer" "Prunus" NA
238 "European Bison" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" 16
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" 7
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" 15
243 "Red Deer" "Prunus" 7
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "Red Deer" "Prunus" NA
243 "European Bison" "Prunus" NA
243 "European Bison" "Prunus" NA
243 "European Bison" "Prunus" NA
243 "Roe Deer" "Prunus" 2
244 "Red Deer" "Carpinus" NA
244 "Roe Deer" "Carpinus" 4
247 "Red Deer" "Carpinus" NA
247 "Red Deer" "Carpinus" NA
247 "Red Deer" "Carpinus" NA
247 "Red Deer" "Carpinus" NA
247 "Red Deer" "Carpinus" NA
247 "Red Deer" "Carpinus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
250 "Red Deer" "Quercus" NA
